Day,Thủy điện,Nhiệt điện than,Tuabin khí (Gas + Dầu DO),Nhiệt điện dầu,Điện gió,ĐMT trang trại,ĐMT mái nhà (ước tính thương phẩm),ĐMT mái nhà (ước tính đầu cực),Nhập khẩu điện,"Khác (Sinh khối, Diesel Nam, …)",Carboon (tấn CO₂),Total MWh
2025-01-05,148.2,418.7,50.1,0.0,41.3,39.0,26.6,38.8,14.7,4.0,447.06,742.6
2025-01-03,202.3,451.7,65.0,0.0,51.5,25.6,17.7,22.0,14.4,3.6,488.17,831.8
2025-01-04,180.3,454.2,55.8,0.0,41.1,42.5,29.3,33.8,14.2,3.8,485.65,821.2
2025-01-02,194.9,436.3,48.9,0.0,30.5,29.9,20.2,24.5,13.0,3.8,463.95,777.5
2025-01-01,156.5,365.1,31.0,0.0,27.6,16.9,19.0,23.9,8.5,3.9,382.93,628.5
2025-01-09,183.8,463.4,60.6,0.0,45.7,45.2,30.6,34.3,15.3,4.6,497.65,849.2
2025-01-08,184.0,461.2,60.1,0.0,43.4,50.8,34.0,40.2,13.8,4.2,495.09,851.5
2025-01-07,199.7,450.6,52.8,0.0,32.0,51.6,34.0,39.4,14.1,4.0,480.44,838.8
2025-01-06,181.8,441.8,54.4,0.0,37.3,50.6,33.8,39.5,13.9,3.9,472.5,817.5
2025-01-10,185.9,426.7,59.6,0.0,84.4,40.8,26.8,31.6,19.1,4.8,460.44,848.1
2025-01-13,194.6,413.9,49.5,0.0,46.7,44.1,32.7,37.2,16.4,4.1,441.94,802.0
2025-01-14,197.5,470.5,53.0,0.0,42.7,28.1,19.8,24.1,21.2,4.0,500.45,836.8
2025-01-11,183.2,404.7,48.7,0.0,77.7,44.0,27.9,32.9,19.8,4.8,432.44,810.8
2025-01-15,195.9,451.5,47.8,0.0,76.4,30.1,20.3,24.9,19.3,3.8,478.55,845.1
2025-01-12,152.9,368.1,47.8,0.0,64.6,39.5,30.0,38.5,19.0,4.7,395.33,726.6
2025-01-17,181.9,440.6,46.5,0.0,70.1,42.6,30.6,34.9,21.3,4.0,466.98,837.6
2025-01-20,162.4,456.7,42.4,0.0,43.1,48.1,33.8,38.6,19.9,4.3,480.88,810.7
2025-01-18,180.6,446.2,46.4,0.0,41.4,44.8,30.6,34.9,20.1,4.2,472.56,814.3
2025-01-19,138.6,426.2,41.3,0.0,43.0,43.4,26.8,39.8,21.0,4.3,449.77,744.6
2025-01-16,191.7,423.7,47.7,0.0,94.5,39.2,28.0,32.5,19.6,3.9,450.71,848.3
2025-01-21,162.3,464.3,44.0,0.0,33.4,51.2,36.7,42.1,20.7,4.5,489.4,817.1
2025-01-24,145.4,425.8,39.4,0.0,24.4,50.0,33.3,39.9,16.5,2.9,448.05,737.7
2025-01-25,125.2,369.8,33.0,0.0,27.7,45.6,33.1,39.4,13.8,2.9,388.53,651.1
2025-01-23,151.7,469.2,42.3,0.0,25.3,42.3,28.5,34.4,19.4,3.4,493.14,782.1
2025-01-22,158.8,458.5,43.0,0.0,33.2,50.7,34.8,41.3,19.6,4.3,483.01,802.9
2025-01-30,100.8,233.5,23.5,0.0,28.7,25.1,19.4,41.5,5.0,2.3,246.89,438.3
2025-01-29,96.0,223.5,22.8,0.0,48.4,20.2,17.5,18.1,4.1,2.0,236.44,434.5
2025-01-28,101.9,266.8,23.9,0.0,71.4,31.6,24.3,39.7,4.7,2.3,280.4,526.9
2025-01-26,92.7,307.5,26.8,0.0,66.7,36.4,30.3,35.8,15.1,2.6,322.76,578.1
2025-01-27,93.2,270.5,23.5,0.0,71.9,27.6,24.3,25.9,8.3,2.3,283.88,521.6
2025-02-04,129.8,356.8,36.3,0.0,86.1,46.1,32.2,36.2,19.4,2.4,377.25,709.1
2025-01-31,101.9,252.2,25.8,0.0,10.8,34.1,19.6,39.7,4.7,2.3,266.85,451.4
2025-02-02,96.4,300.6,28.4,0.0,11.2,47.7,30.0,44.1,11.6,2.3,316.68,528.2
2025-02-01,104.0,270.1,26.7,0.0,9.0,42.5,25.0,43.8,7.8,2.3,285.25,487.4
2025-02-03,124.5,324.8,33.4,0.0,60.2,48.6,33.7,40.2,18.5,2.3,343.63,646.0
2025-02-07,188.7,418.7,39.6,0.0,55.4,46.2,31.2,37.4,13.0,4.7,441.42,797.5
2025-02-09,166.6,389.7,34.1,0.0,55.8,35.3,23.4,26.8,13.9,4.8,409.41,723.6
2025-02-06,180.4,412.8,39.0,0.0,38.3,56.5,37.6,45.8,14.9,4.1,435.07,783.6
2025-02-05,155.6,378.5,36.0,0.0,59.1,53.6,36.3,43.6,15.5,3.2,398.94,737.8
2025-02-08,195.2,386.6,41.2,0.0,65.8,50.7,32.4,39.2,14.9,4.9,410.24,791.7
2025-02-13,161.1,516.1,65.0,0.0,23.2,37.4,24.1,29.0,12.9,4.9,552.83,844.7
2025-02-14,157.1,515.7,65.1,0.0,23.4,41.4,28.0,33.1,16.8,4.8,552.47,852.3
2025-02-11,177.9,507.2,54.2,0.0,26.9,34.0,23.0,28.0,16.9,4.8,537.97,844.9
2025-02-12,156.4,519.2,59.5,0.0,23.0,42.8,27.0,32.3,15.6,4.9,552.91,848.4
2025-02-10,188.9,445.0,44.8,0.0,39.6,38.1,26.6,31.3,14.2,4.9,470.62,802.1
2025-02-17,131.3,466.3,54.9,0.0,73.0,53.7,36.6,42.3,16.7,4.8,497.45,837.3
2025-02-19,151.5,502.1,57.4,0.0,76.7,36.6,23.1,29.0,13.5,4.8,534.63,865.7
2025-02-16,100.5,481.7,35.8,0.0,58.9,46.3,31.0,35.4,9.9,4.8,502.35,768.9
2025-02-15,142.2,524.8,64.3,0.0,23.6,38.2,26.8,32.3,12.0,4.7,561.11,836.6
2025-02-18,142.3,507.4,57.4,0.0,66.5,46.0,31.0,36.7,15.2,4.8,539.93,870.6
2025-02-20,150.0,497.1,58.2,0.0,68.1,47.9,33.3,39.4,11.2,4.8,530.07,870.6
2025-02-23,129.1,454.8,36.1,0.0,86.8,21.4,13.3,17.9,13.1,4.7,475.6,759.3
2025-02-21,147.6,498.8,58.9,0.0,79.4,38.3,25.1,30.6,14.6,4.8,532.16,867.5
2025-02-22,143.0,484.7,58.8,0.0,81.2,30.9,20.0,25.5,11.3,4.8,518.0,834.7
